질병명,주요증상
,
,
,
특발성 다발성 근염 (Idiopathic polymyositis)," | 개구장애 , 개구곤란 | 골반위축 , 둔부위축 , 야윔 | 과도한 침흘림 , 유연 , 입에 거품 | 구역질 | 구토 | 기립불능 , 다우너 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 무기력 , 후지마비 , 부전마비 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 위축 , 야윔 | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 등부위 위축 , 야윔 | 머리 , 얼굴 , 귀 , 턱 무기력 , 처짐 , 부전마비 , 마비 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 머리 , 얼굴 , 턱 , 귀의 통증 | 머리 , 얼굴 , 턱 , 혀 위축 , 수척 , 야윔 | 목소리 변성 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 사지마비 , 무기력 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 안구돌출 | 앞다리 반사 이상(증가나 감소) | 앞다리 위축 , 야윔 | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 앞다리 허약 , 무기력 , 부전마비 , 마비 | 연하곤란 , 연하장애 | 운동기피 , 쉽게 지침 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 이동거부 | 저작곤란 , 잘 씹지 못함 | 전신허약 , 부전마비 , 마비 | 지각과민 , 예민함 , 과다운동 | 체중감소 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡"
파상풍(Tetanus),"| 강직성 경련 , 테타니 | 개구장애 , 개구곤란 | 과도한 침흘림 , 유연 , 입에 거품 | 구토 | 근 긴장증 , 근 경직증 | 기립불능 , 다우너 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 동 정지 | 부정맥 , 불규칙한 심박 및 맥박 | 뒷다리 경련 , 근경련 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 파행 , 경직 , 절름발이 | 머리 , 얼굴 , 목의 경련 , 근경련 | 목의 경직 , 뻣뻣한 목 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 방광 종대 , 확장 | 배뇨곤란 | 배변량 감소 , 변비 , 배변 안됨 | 복부팽만 | 부정맥 , 불규칙한 심박 및 맥박 | 분마율동 , 분마성 리듬 , 분마성 리듬 | 심방 빈맥 , 빈박 | 서맥 , 느린 심박동이나 맥박 | 소리 계속 지르기 , 소리가 커짐 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 안구함몰 , 눈이 움푹 꺼짐 | 앞다리 경련 , 간대성 근경련 | 앞다리 반사 이상(증가나 감소) | 앞다리 파행 , 경직 , 절름발이 | 연하곤란 , 연하장애 | 운동기피 , 쉽게 지침 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 저작곤란 , 잘 씹지 못함 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 제3안검 탈출 , 순막의 돌출 | 지각과민 , 예민함 , 과다운동 | 청색증 , 피부나 점막이 푸름 | 축동 , 동공축소 | 탈수 | 핍뇨 , 무뇨증 , 요 정체 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 후궁반장 | 흥분 , 헛소리 , 광분"
저체온증(Hypothemia)," | 거친 피모 , 곤두선 털 | 급사 , 돌연사 | 뒷다리 반사 이상(증가나 감소) | 떨림 , 전율 , 오한 | 무기력 , 침울 , 졸림 , 생기없음 | 발육정지 , 체중증가없음 , 성장지연 | 복부팽만 | 부정맥 , 불규칙한 심박 및 맥박 | 빈뇨 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 산통 , 복통 | 서맥 , 느린 심박동이나 맥박 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 반사 이상(증가나 감소) | 약맥 , 소맥 | 저체온증 , 낮은체온 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 진전 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 피부 , 귀 , 다리 냉감 | 피부 부종 | 항문 , 회음부 , 꼬리 반사 이상 | 호흡수 감소 | 혼수 , 혼미 "
,
,
팔로사징후(Tetralogy of Fallot)," | 결막 , 공막의 충혈 , 혈관의 이상 | 구토 | 급사 , 돌연사 | 기침 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 망막혈관 크기 이상 | 무기력 , 침울 , 졸림 , 생기없음 | 발육정지 , 체중증가없음 , 성장지연 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 심방 빈맥 , 빈박 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 심실확장 , 좌 , 우 혹은 양쪽 | 심잡음 | 운동기피 , 쉽게 지침 | 전신허약 , 부전마비 , 마비 | 청색증 , 피부나 점막이 푸름 | 체중감소 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 "
,
,
"만성설사, 고양이(Feline chronic diarrhea)","| 거친 피모 , 곤두선 털 | 구토 기립불능 떨림 | 무기력 , 침울 , 졸림 , 생기없음| 발열 , 고열 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 이급후증 , 배변곤란 | 저체온증 , 낮은체온 | 점액변 , 점액양분변 | 체중감소 | 탈수 | 피부 , 귀 , 다리 냉감 | 혈변 "
"양측성 탈모증, 고양이 (Feline symmetrical alopecia)"," | 탈모 , 무모증"
,
,
저혈량성 쇼크(Hypovolemic shock)," | 구강점막의 건조 | 구강점막의 울혈 , 홍반 , 발적 | 구토 다한증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 떨림 , 전율 , 오한 | 모세혈관 재충만 시간 지연 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 복강 외부 압박에 따른 통증 | 복명(장연동음) 감소 , 장폐쇄증 비정상의 폐포음 | 심방 빈맥 , 빈박 | 서맥 , 느린 심박동이나 맥박 | 설사 , 하리 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 약맥 , 소맥 | 운동기피 , 쉽게 지침 | 저체온증 , 낮은체온 | 전신허약 , 부전마비 , 마비 | 점액변 , 점액양분변 | 지각과민 , 예민함 , 과다운동 | 점막 , 피부 창백 , 빈혈 | 청색증 , 피부나 점막이 푸름 | 탈수 | 피부 , 귀 , 다리 냉감 | 핍뇨 , 무뇨증 , 요 정체 | 혈변 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 혼수 , 혼미 | 황달 "
"편충증(Whipworm, tricuriasis)"," | 거친 피모 , 곤두선 털 | 구토 | 다음 , 많이 마심 , 지나친 갈증 | 떨림 , 전율 , 오한 | 발육정지 , 체중증가없음 , 성장지연 | 배변량 감소 , 변비 , 배변 안됨 | 복강 외부 압박에 따른 통증 | 심방 빈맥 , 빈박 | 산통 , 복통 | 서맥 , 느린 심박동이나 맥박 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 이급후증 , 배변곤란 | 저체온증 , 낮은체온 | 점액변 , 점액양분변 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 탈수 | 혈변 "
"평활근육종, 위(Leiomyosarcoma)"," | 간 , 비장 종대 , 비장종대 , 간종대 | 뒷발 , 발가락 종창 , 종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부의 궤양 , 미란 , 찰과상 "
앞방출혈(Hyphema)," | 대안구증 , 녹내장 | 망막 박리 | 실명 , 시력상실 | 안구 전방출혈 ,  ""블랙 아이"" "
다발성 신경병증:말초 신경병증(Peripheral neuropathies:polyneuropathies in cats)," | 거리감각불능 , 거리감각 과대 및 과소 | 근육긴장저하 | 기립불능 , 다우너 | 뒷다리 반사 이상(증가나 감소) | 비정상적인 자세 | 사지마비 , 무기력 | 앞다리 반사 이상(증가나 감소) | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 전신허약 , 부전마비 , 마비 "
콕시디오이데스진균증(Coccidioidomycosis)," | 전방축농 , 안구전방에 지질이나 섬유소 축적 | 각막의 부종 , 혼탁 | 간 , 비장 종대 , 비장종대 , 간종대 | 강직성 경련 , 테타니 | 거리감각불능 , 거리감각 과대 및 과소 | 결막 , 공막의 발적 | 결막 , 공막의 충혈 , 혈관의 이상 | 과도한 침흘림 , 유연 , 입에 거품 | 구토 | 기침 | 눈물흘림 , 장액성 분비물 , 축축한 눈 | 눈의 통증 , 안통 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 단백뇨 | 대안구증 , 녹내장 | 심방 빈맥 , 빈박 | 동공부동 | 뒷다리 경련 , 근경련 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 위축 , 야윔 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 망막 박리 | 망막주름 , 융기 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 백내장 , 수정체 혼탁 | 복부팽만 | 복수 | 비출혈 , 코피 | 빛에 대한 동공의 비정상 반응 | 선회운동 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 심음의 감소 | 안검연축 , 경련 | 안구 전방출혈 ,  ""블랙 아이""  | 안구진탕 , 안구불수의적운동 | 앞다리 경련 , 간대성 근경련 | 앞다리 염발음 , 앞다리 마찰음 | 앞다리 위축 , 야윔 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 연하곤란 , 연하장애 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유리체(초자체) 혼탁 또는 침전물 | 유착증 , 유착 | 음낭 , 고환 크기 이상 | 이급후증 , 배변곤란 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 체중감소 | 탈모 , 무모증 | 탈수 | 폐포음 감소 , 호흡음이 없음 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 , 털 , 깃털이 축축함 | 피부의 궤양 , 미란 , 찰과상 | 피부의 화농성 분비물 | 피부홍반 , 염증 , 발적 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 혼수 , 혼미상태 | 황달 "
고칼슘혈증(Hypercalcemia)," | 구토 | 떨림 , 전율 , 오한 | 무기력 , 침울 , 졸림 , 생기없음 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 배변량 감소 , 변비 , 배변 안됨 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 이식증 , 이기증(이물 섭취 기호증) | 전신허약 , 부전마비 , 마비 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 탈수"
,
,
"평활근종, 위 (Leiomyoma, stomach)"," | 간 , 비장 종대 , 비장종대 , 간종대 | 뒷발 , 발가락 종창 , 종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부의 궤양 , 미란 , 찰과상 "
고환의 변성과 형성부전(Testicular degeneration and hypoplasia)," | 성욕 , 발기 부전 | 수컷 불임 | 음낭 , 고환 크기 이상 "
골연골증(Osteochondrosis)," | 거리감각불능 , 거리감각 과대 및 과소 | 골반 , 둔부 통증 | 골반 및 회음부의 종창 , 종괴 | 골반위축 , 둔부위축 , 야윔 , 둔부위축 , 야윔 | 근육긴장저하 | 꼬리 , 항문 , 회음부 , 통증 | 꼬리 , 항문 지각감퇴 , 회음부 , 항문 무감각 | 뒷다리 및 골반부 , 염발음 , 후지 골반 마찰음 |뒷다리 반사 이상(증가나 감소) | 뒷다리 위축 , 야윔 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 지각감퇴 , 뒷다리 무감각증 | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 통증 | 무기력 , 침울 , 졸림 , 생기없음 | 방광 종대 , 확장 | 배뇨곤란 | 배변량 감소 , 변비 , 배변 안됨 | 분변 실금 | 비정상적인 자세 | 앞다리 염발음 , 앞다리 마찰음 | 앞다리 위축 , 야윔 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 요실금 | 요통 , 허리 통증 , 허리 통증 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 이동거부 | 전신파행 , 경직 , 절름발이 |항문 , 회음부 , 꼬리 반사 이상 |"
골연화증(Osteomalacia)," | 과도한 또는 불규칙한 이빨 마모 | 과도한 침흘림 , 유연 , 입에 거품 | 기립불능 , 다우너 | 뒷다리 만곡 , 굽음 | 뒷다리 및 골반부 , 염발음 , 후지 골반 마찰음 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 등 , 흉부 , 염발음 , 가슴 늑골부 마찰음 | 무기력 , 침울 , 졸림 , 생기없음 | 발육정지 , 체중증가없음 , 성장지연 | 비정상적인 자세 | 수척 , 건강상태 불량 , 증체율 불량 | 앞다리 만곡 , 굽음 | 앞다리 염발음 , 앞다리 마찰음 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 이동거부 | 이빨의 교합부전 | 저작곤란 , 잘 씹지 못함 | 전신파행 , 경직 , 절름발이 | 척추전만증,  척추 앞 굽이증 | 척추후만증 , 아치형 척추 | 충치 , 치아 우식증 | 탈구 , 뒷다리 비관절부 운동장애 | 탈구 , 앞다리 비관절부 운동장애 | 혀의 돌출 , 내밀기 | 흉부 종창 , 흉부 , 가슴 , 늑골 , 흉골의 종괴 "
피부 무력증(Cutaneous asthenia)," | 각막 색소침착 이상 | 각막의 부종 , 혼탁 | 과 신전 , 과 탄력성 피부 | 뒷다리 관절 이완 , 탈구 | 뒷다리 파행 , 경직 , 절름발이 | 백내장 , 수정체 혼탁 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 수정체 이탈 , 변위 | 앞다리 관절 이완 및 탈구 | 앞다리 파행 , 경직 , 절름발이 , 경직 | 전신파행 , 경직 , 절름발이 , 절름발이 주름진 피부 | 피부 반흔 , 흉터 | 피부가 비쩍 마름 , 야윈 피부 | 피부의 열상 , 절창 , 교상 "
공포증 (Fear and phobias)," 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 떨림 , 전율 , 오한 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 빈맥 , 빠른 맥박 , 심박 | 소리 계속 지르기 , 소리가 커짐 | 이동거부 | 지각과민 , 예민함 , 과다운동 | 진전 "
피부 방선균증 (Dermatophilosis)," | 구강점막의궤양 , 수포 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 , 발가락 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 이동거부 | 전신파행 , 경직 , 절름발이 | 체중감소 | 탈모 , 무모증 | 털이 광택이 없이 덥수룩 하거나 지저분함 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 색소 과잉 침착 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부 , 털 , 깃털이 축축함 | 피부구진 | 피부 농포 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부의 화농성 분비물 | 피부홍반 , 염증 , 발적 | 혀의 궤양 , 수포 , 미란 , 궤양 , 수포 , 절창 , 열상 "
,
과민반응(Hypersensitivity reaction),"| 과각화증 , 두꺼운 피부 | 구토 | 귀 긁기 | 귀의 화농성 , 점액양 분비물 , 귓밥이 많음 , 악취 | 무기력 , 침울 , 졸림 , 생기없음 | 방귀 | 복강 외부 압박에 따른 통증 | 복명(장 연동음)의 증가 | 산통 , 복통 | 설사 , 하리 | 소양감 , 가려움 | 식욕부진 , 식욕감소 , 식욕절폐, 젖을 안먹임 , 먹이 공급 중단 | 이급후증 , 배변곤란 | 점액변 , 점액양분변 | 탈모 , 무모증 | 피부 , 털 , 깃털에 기생충 | 피부 구진 | 피부 균열 , 열구 | 피부 농포 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 부종 | 피부 색소 과잉 침착 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부 팽진 , 발진 | 피부 플라크(반) | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 혈변 , 분변내 잠혈 | 혈변 | "
"전신성 홍반성 낭창(Systemic lupus erythematosus, SLE)"," | 거리감각불능 , 거리감각 과대 및 과소 | 골반위축 , 둔부위축 , 야윔 | 과각화증 , 두꺼운 피부 | 구강점막의궤양 , 수포 | 구토 | 근육긴장저하 | 다뇨증 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 단백뇨 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 위축 , 야윔 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 뒷다리관절 운동성 감소 , 뒷다리만곡 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 망막 박리 | 망막출혈 | 머리 , 얼굴 , 턱 , 혀 위축 , 수척 , 야윔 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 심방 빈맥 , 빈박 | 사지마비 , 무기력 | 소양감 , 가려움 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 관절의 운동성 감소 , 앞다리 만곡 | 앞다리 반사 이상(증가나 감소) | 앞다리 위축 , 야윔 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 연하곤란 , 연하장애 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 이동거부 | 적색뇨 , 갈색뇨 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 점상 또는 반상출혈 , 타박상 | 지각과민 , 예민함 , 과다운동 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 출혈 , 응고부전 | 탈모 , 무모증 | 탈수 | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 반흔 , 흉터 | 피부 수포 , 대수포 , 물집 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부 , 털의 건조 | 피부색소침착감소 , 백반증 , 백피증 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 혈뇨 | 혈색소뇨 , 근색소뇨 "
"혈관염, 피부 (Vasculitis, cutaneous)"," | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발육정지 , 체중증가없음 , 성장지연 | 심방 빈맥 , 빈박 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 전신파행 , 경직 , 절름발이 | 점상 또는 반상출혈 , 타박상 | 청색증 , 피부나 점막이 푸름 | 체중감소 | 피부 괴사 , 가피 , 괴저 | 피부 농포 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 부종 | 피부 수포 , 대수포 , 물집 | 피부 통증 | 피부 , 털 , 깃털이 축축함 | 피부의 가피 , 딱지 "
구강종양(Oral neoplasia)," | 개구장애 , 개구곤란 | 과도한 침흘림 , 유연 , 입에 거품 | 구강 통증 , 구강점막 및 혀의 통증 | 구강 , 혀의 종창 , 종괴 | 구강점막의 울혈 , 홍반 , 발적 | 구강점막의궤양 , 수포 , 플라크(반) , 농포 , 미란 , 절창 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 머리 , 얼굴 , 턱 , 귀의 통증 | 목 부위 종창 , 경부의 종괴 | 목 , 경부 , 목구멍 통증 | 무기력 , 침울 , 졸림 , 생기없음 | 상부기도의 비정상 호흡음 , 코고는 소리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 안구돌출 | 연하곤란 , 연하장애 | 이빨 흔들림 , 풍치 | 이빨을 감 , 이갈이 | 이빨의 결손 ,  이빨수 감소 | 이빨의 교합부전 | 인두의 홍반 , 발적 | 저작곤란 , 잘 씹지 못함 | 점액양 비강 분비물 , 장액성 , 수양성 | 체중감소 | 출혈 , 응고부전 | 혀의 궤양 , 수포 , 미란 , 궤양 , 수포 , 절창 , 열상 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 호흡시 이상한 냄새 , 구강의 악취 | 화농성 비강 분비물 | 후두 , 기관 , 인두의 종창 , 종괴 "
" 혈관육종, 피부(Hemangiosarcoma, skin)","| 1도 방실 심 차단 | 2도 방실 심 차단 | 3도 방실 심 완전차단 | 각차단 , 좌각차단 , 우각차단 , 양각차단 | 간 , 비장 종대 , 비장종대 , 간종대 | 거리감각불능 , 거리감각 과대 및 과소 | 걷다 앞으로 넘어짐 , 목적없이 배회 | 구토 | 급사 , 돌연사 | 기립불능 , 다우너 | 기침시 객혈 | 눈 내부 종괴 종창 | 다뇨증 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 , 발가락 종창 , 종괴 | 뒷발 통증 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 머리 기울기 | 머리 박치기 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 방향 감각 상실 , 기억 상실 | 배뇨곤란 | 복강 외부 압박에 따른 통증 | 복강 외부 종창 , 종괴 | 복강내부 종괴 , 종창 , 유착 | 복부팽만 | 복수 | 부정맥 , 불규칙한 심박 및 맥박 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 비정상적인 자세 | 심방 빈맥 , 빈박 | 선회운동 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 심방 | 심방 빈맥 , 빈박 , 빈박 | 심방 세동 | 심방 조기 박동 | 심실 기외 수축 , 다발성 혹은 단발성 | 심방 빈맥 , 빈박 | 심실 세동 , 조동 | 심음의 감소 | 심잡음 | 심전도 전압 감소 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 약맥 , 소맥 | 운동기피 , 쉽게 지침 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 음경 , 포피 , 고환 , 음낭의 종대 , 종괴 | 재채기 | 적색뇨 , 갈색뇨 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 점상 또는 반상출혈 , 타박상 | 점막 , 피부 창백 , 빈혈 | 청색증 , 피부나 점막이 푸름 | 체중감소 | 출혈 , 응고부전 | 탈수 | 편측 부전마비 | 폐포음 감소 , 호흡음이 없음 | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 부종 | 피부 통증 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 혈뇨 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 혼수 , 혼미 | 황달 | 흉부 종창 , 흉부 , 가슴 , 늑골 , 흉골의 종괴"
전파성 성기육종(Transmissible venereal tumors)," | 구강 , 혀의 종창 , 종괴 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷발 , 발가락 종창 , 종괴 | 등부위 부어오름 , 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 머리 , 얼굴 , 턱 , 귀의 통증 | 목 부위 종창 , 경부의 종괴 | 복강내부 종괴 , 종창 , 유착 | 비출혈 , 코피 , 코피 | 상부기도의 비정상 호흡음 , 코고는 소리 | 성욕 , 발기 부전 | 수척 , 건강상태 불량 , 증체율 불량 | 수컷 불임 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 암컷의 불임증 , 저 수태 | 외음부 궤양 , 수포 , 미란 , 절창 , 열상 , 구진 , 농포 | 외음부 , 음핵의 종대 , 종괴. | 외음부 , 질의 악취냄새 , 분비물 | 외음부 , 질의 점액성 분비물 | 외음부 , 질의 화농성 분비물 | 음경 , 포피 , 고환 , 음낭의 종대 , 종괴 | 음경 , 포피에 구진 , 농포 , 수포 , 궤양 | 음경 , 포피의 화농성 분비물 | 재채기 | 질 종창 , 종괴 | 질 , 자궁경부의 궤양 , 수포 , 열창 , 구진 , 농포 | 체중감소 | 피부 구진 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부의 궤양 , 미란 , 찰과상 | 항문직장부위 종창 , 종괴 | 혈뇨 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 화농성 비강 분비물 "
